name,URL,longitude,latitude
"610 Youth Centre ",https://www.birmingham.gov.uk/directory_record/150212/610_youth_centre,52.54740,-1.88493
"Acocks Green Library ",https://www.birmingham.gov.uk/directory_record/86635/acocks_green_library,52.48057,-1.90318
"Alexander Stadium (incl; GMAC) ",https://www.birmingham.gov.uk/directory_record/150210/alexander_stadium_incl_gmac,52.53054,-1.90686
"Anne Marie Howes Centre ",https://www.birmingham.gov.uk/directory_record/86639/anne_marie_howes_centre,52.46465,-1.77834
"Ashted Lock City Serve ",https://www.birmingham.gov.uk/directory_record/150150/ashted_lock_city_serve,52.48656,-1.88374
"Aston Academy ",https://www.birmingham.gov.uk/directory_record/150221/aston_academy,52.50461,-1.89147
"Aston Hall ",https://www.birmingham.gov.uk/directory_record/86644/aston_hall,52.50661,-1.88359
"Aston Learning Centre ",https://www.birmingham.gov.uk/directory_record/86645/aston_learning_centre,52.50446,-1.89123
"Balsall Heath Library ",https://www.birmingham.gov.uk/directory_record/86646/balsall_heath_library,52.45891,-1.88550
"Bartley Green Library ",https://www.birmingham.gov.uk/directory_record/86647/bartley_green_library,52.43606,-1.99849
"Baughan House Sheltered Housing ",https://www.birmingham.gov.uk/directory_record/86648/baughan_house_sheltered_housing,52.51860,-1.81313
"Birchfield Library ",https://www.birmingham.gov.uk/directory_record/86672/birchfield_library,52.50902,-1.90174
"Birmingham Foster Care ",https://www.birmingham.gov.uk/directory_record/150151/birmingham_foster_care,52.51240,-1.92514
"Birmingham Foster Care Association ",https://www.birmingham.gov.uk/directory_record/86673/birmingham_foster_care_association,52.51286,-1.92511
"Birmingham Museum Art Gallery ",https://www.birmingham.gov.uk/directory_record/86678/birmingham_museum_art_gallery,52.48057,-1.90318
"Birmingham Nature Centre ",https://www.birmingham.gov.uk/directory_record/86674/birmingham_nature_centre,52.45048,-1.91040
"Birmingham Youth Court ",https://www.birmingham.gov.uk/directory_record/150152/birmingham_youth_court,52.48333,-1.89455
"Blakesley Hall ",https://www.birmingham.gov.uk/directory_record/86675/blakesley_hall,52.47348,-1.80941
"Bloomsbury Library ",https://www.birmingham.gov.uk/directory_record/86677/bloomsbury_library,52.49323,-1.87664
"Boldmere Library ",https://www.birmingham.gov.uk/directory_record/150218/boldmere_library,52.54685,-1.84079
"Brasshouse Centre ",https://www.birmingham.gov.uk/directory_record/87243/brasshouse_centre,52.48008,-1.90753
"Breedon Road Homeless Centre ",https://www.birmingham.gov.uk/directory_record/150207/breedon_road_homeless_centre,52.41925,-1.92555
"Bullring Market ",https://www.birmingham.gov.uk/directory_record/87245/bullring_market,52.47814,-1.89410
"Bushmere House ",https://www.birmingham.gov.uk/directory_record/88589/bushmere_house,52.43221,-1.82747
"Camborne Childrens Home ",https://www.birmingham.gov.uk/directory_record/150153/camborne_childrens_home,52.50043,-1.89178
"Castle Vale Library ",https://www.birmingham.gov.uk/directory_record/88591/castle_vale_library,52.52142,-1.78416
"CBSO ",https://www.birmingham.gov.uk/directory_record/88593/cbso,52.47582,-1.90964
"Centre (Head Office) Heath Mill Lane ",https://www.birmingham.gov.uk/directory_record/88595/centre_head_office_heath_mill_lane,52.47696,-1.88081
"Centre for the Aston Family ",https://www.birmingham.gov.uk/directory_record/88597/centre_for_the_aston_family,52.51103,-1.88734
"Charity Shop 11 Birmingham Road ",https://www.birmingham.gov.uk/directory_record/88598/charity_shop_11_birmingham_road,52.55963,-1.82564
"Charity Shop 178 High Street ",https://www.birmingham.gov.uk/directory_record/88599/charity_shop_178_high_street,52.45859,-1.94907
"Cherry Gardens ",https://www.birmingham.gov.uk/directory_record/150244/cherry_gardens,52.55221,-1.84441
"Chinnbrook Family &amp; Community Project ",https://www.birmingham.gov.uk/directory_record/88604/chinnbrook_family_and_community_project,52.42300,-1.86331
"Citizens Advice Bureau Gazette Building ",https://www.birmingham.gov.uk/directory_record/88608/citizens_advice_bureau_gazette_building,52.48258,-1.89373
"Civic House Adult Education  -Erdington Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/150219/civic_house_adult_education_-erdington_customer_service_centre,52.52510,-1.83925
"Clifton Road Youth Centre ",https://www.birmingham.gov.uk/directory_record/88610/clifton_road_youth_centre,52.56276,-1.83004
"College Road Office ",https://www.birmingham.gov.uk/directory_record/88692/college_road_office,52.54179,-1.86815
"Common Room Belgrave Middleway ",https://www.birmingham.gov.uk/directory_record/150229/common_room_belgrave_middleway,52.46584,-1.89749
"Community Room Millfield ",https://www.birmingham.gov.uk/directory_record/88613/community_room_millfield,52.41606,-1.96777
"Coroners Court ",https://www.birmingham.gov.uk/directory_record/149662/coroners_court,52.48328,-1.89448
"Council House ",https://www.birmingham.gov.uk/directory_record/88615/council_house,52.48057,-1.90318
"Council House Extension ",https://www.birmingham.gov.uk/directory_record/88616/council_house_extension,52.48109,-1.90326
"Druids Heath Library ",https://www.birmingham.gov.uk/directory_record/88619/druids_heath_library,52.40752,-1.88939
"E R Mason Youth Centre ",https://www.birmingham.gov.uk/directory_record/88620/e_r_mason_youth_centre,52.47281,-1.90176
"Edgewood Road Childrens Home ",https://www.birmingham.gov.uk/directory_record/150154/edgewood_road_childrens_home,52.39226,-1.93645
"Edgwood House ",https://www.birmingham.gov.uk/directory_record/88622/edgwood_house,52.47341,-1.93409
"Edmonds Court ",https://www.birmingham.gov.uk/directory_record/88624/edmonds_court,52.46566,-1.86113
"Elwood Day Centre ",https://www.birmingham.gov.uk/directory_record/88625/elwood_day_centre,52.52178,-1.84822
"Ensford Close ",https://www.birmingham.gov.uk/directory_record/150228/ensford_close,52.59805,-1.84767
"Erdington Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/88627/erdington_customer_service_centre,52.52178,-1.84822
"Erdington Library ",https://www.birmingham.gov.uk/directory_record/88628/erdington_library,52.52603,-1.83630
"Fairway Day Centre ",https://www.birmingham.gov.uk/directory_record/150171/fairway_day_centre,52.40809,-1.94621
"Falcon Lodge ",https://www.birmingham.gov.uk/directory_record/88629/falcon_lodge,52.56369,-1.79131
"Fleetwood House ",https://www.birmingham.gov.uk/directory_record/88632/fleetwood_house,52.45055,-1.88489
"Frankley Library ",https://www.birmingham.gov.uk/directory_record/88634/frankley_library,52.40488,-2.01660
"Frankley Youth Centre ",https://www.birmingham.gov.uk/directory_record/88636/frankley_youth_centre,52.40488,-2.01660
"Glebe Farm Library ",https://www.birmingham.gov.uk/directory_record/88637/glebe_farm_library,52.49047,-1.79459
"Grand Union ",https://www.birmingham.gov.uk/directory_record/88639/grand_union,52.47941,-1.88449
"Hall Green Library ",https://www.birmingham.gov.uk/directory_record/88640/hall_green_library,52.43388,-1.84663
"Handsworth Health and Wellbeing Centre ",https://www.birmingham.gov.uk/directory_record/88641/handsworth_health_and_wellbeing_centre,52.50635,-1.92795
"Handsworth Library ",https://www.birmingham.gov.uk/directory_record/88642/handsworth_library,52.50247,-1.92934
"Harborne Day Centre ",https://www.birmingham.gov.uk/directory_record/150172/harborne_day_centre,52.45381,-1.98096
"Harborne Library ",https://www.birmingham.gov.uk/directory_record/88643/harborne_library,52.45841,-1.95153
"Hart Centre ",https://www.birmingham.gov.uk/directory_record/88644/hart_centre,52.49837,-1.79022
"Hasbury Court Sheltered Housing ",https://www.birmingham.gov.uk/directory_record/88645/hasbury_court_sheltered_housing,52.43211,-2.00344
"Hazelwell Street (Selly Oak Social Services Area Office) ",https://www.birmingham.gov.uk/directory_record/150155/hazelwell_street_selly_oak_social_services_area_office,52.43022,-1.92255
"Highbury Hall ",https://www.birmingham.gov.uk/directory_record/88646/highbury_hall,52.44210,-1.90187
"Highbury Hall ",https://www.birmingham.gov.uk/directory_record/150162/highbury_hall,52.44127,-1.90229
"Hockley Day Centre  (Learning Difficulties) ",https://www.birmingham.gov.uk/directory_record/150173/hockley_day_centre_learning_difficulties,52.49217,-1.92866
"Howard House ",https://www.birmingham.gov.uk/directory_record/88648/howard_house,52.45389,-1.88473
"Indoor Market Hall ",https://www.birmingham.gov.uk/directory_record/88650/indoor_market_hall,52.47611,-1.89508
"Kenrick Centre ",https://www.birmingham.gov.uk/directory_record/88651/kenrick_centre,52.44918,-1.95413
"Kents Moat Library ",https://www.birmingham.gov.uk/directory_record/88653/kents_moat_library,52.47633,-1.78853
"King Edward Building ",https://www.birmingham.gov.uk/directory_record/150160/king_edward_building,52.48466,-1.89277
"Kings Heath Community ",https://www.birmingham.gov.uk/directory_record/150222/kings_heath_community,52.43431,-1.88982
"Kings Heath Library ",https://www.birmingham.gov.uk/directory_record/88655/kings_heath_library,52.43761,-1.89295
"Kings Heath Park ",https://www.birmingham.gov.uk/directory_record/88656/kings_heath_park,52.43178,-1.90223
"Kings Norton Library ",https://www.birmingham.gov.uk/directory_record/88661/kings_norton_library,52.41013,-1.92827
"Kingsmere Youth Offending Service ",https://www.birmingham.gov.uk/directory_record/150161/kingsmere_youth_offending_service,52.45057,-1.82998
"Kingstanding Leisure Centre ",https://www.birmingham.gov.uk/directory_record/88662/kingstanding_leisure_centre,52.54066,-1.87564
"Kingstanding Library ",https://www.birmingham.gov.uk/directory_record/88663/kingstanding_library,52.55197,-1.88533
"Ladywood Library ",https://www.birmingham.gov.uk/directory_record/88665/ladywood_library,52.47763,-1.92373
"Lancaster Circus ",https://www.birmingham.gov.uk/directory_record/88668/lancaster_circus,52.48703,-1.89218
"Lickey Hills Country Park ",https://www.birmingham.gov.uk/directory_record/88669/lickey_hills_country_park,52.37686,-2.00628
"Lifford House ",https://www.birmingham.gov.uk/directory_record/88670/lifford_house,52.42257,-1.92034
"Lifford Lane Depot ",https://www.birmingham.gov.uk/directory_record/150209/lifford_lane_depot,52.41706,-1.91636
"Louisa House ",https://www.birmingham.gov.uk/directory_record/150163/louisa_house,52.48025,-1.91345
"Lydia Rogers Hostel (Waverley Clinic Birmingham Community Healthcare) ",https://www.birmingham.gov.uk/directory_record/150215/lydia_rogers_hostel_waverley_clinic_birmingham_community_healthcare,52.47461,-1.86472
"Manor Court ",https://www.birmingham.gov.uk/directory_record/88673/manor_court,52.44150,-1.81437
"Manor House ",https://www.birmingham.gov.uk/directory_record/149663/manor_house,52.41289,-1.96912
"Mere Green Library ",https://www.birmingham.gov.uk/directory_record/88674/mere_green_library,52.58746,-1.82496
"Millfield Community Room ",https://www.birmingham.gov.uk/directory_record/150225/millfield_community_room,52.41607,-1.96684
"Milner Court ",https://www.birmingham.gov.uk/directory_record/88675/milner_court,52.47652,-1.87076
"Mole Street ",https://www.birmingham.gov.uk/directory_record/150220/mole_street,52.46089,-1.87353
"Montague Street Depot ",https://www.birmingham.gov.uk/directory_record/150205/montague_street_depot,52.48026,-1.88134
"Museum of the Jewellery Quarter ",https://www.birmingham.gov.uk/directory_record/88676/museum_of_the_jewellery_quarter,52.49038,-1.91217
"Naseby Youth Centre ",https://www.birmingham.gov.uk/directory_record/150226/naseby_youth_centre,52.49049,-1.84541
"Nechells Wellbeing Centre ",https://www.birmingham.gov.uk/directory_record/150204/nechells_wellbeing_centre,52.49392,-1.87646
"New Aston House ",https://www.birmingham.gov.uk/directory_record/88677/new_aston_house,52.49791,-1.89700
"Norman Power Centre ",https://www.birmingham.gov.uk/directory_record/88680/norman_power_centre,52.47500,-1.92551
"Northbrook Homeless Centre ",https://www.birmingham.gov.uk/directory_record/149661/northbrook_homeless_centre,52.41289,-1.96912
"Northfield Adult Education Centre ",https://www.birmingham.gov.uk/directory_record/150203/northfield_adult_education_centre,52.41514,-1.96766
"Northfield Centre ",https://www.birmingham.gov.uk/directory_record/88681/northfield_centre,52.41498,-1.96743
"Northfield Library ",https://www.birmingham.gov.uk/directory_record/88682/northfield_library,52.41498,-1.96743
"Northfield Neighbourhood Office ",https://www.birmingham.gov.uk/directory_record/88684/northfield_neighbourhood_office,52.41498,-1.96743
"Oakhill House ",https://www.birmingham.gov.uk/directory_record/150216/oakhill_house,52.47282,-1.95984
"Oaklands Youth Centre ",https://www.birmingham.gov.uk/directory_record/150227/oaklands_youth_centre,52.50561,-1.94262
"Old Clifton Primary School ",https://www.birmingham.gov.uk/directory_record/88686/old_clifton_primary_school,52.45630,-1.87759
"Oliver Street/The Pod ",https://www.birmingham.gov.uk/directory_record/88687/oliver_streetthe_pod,52.49323,-1.87664
"Osborne Centre ",https://www.birmingham.gov.uk/directory_record/88688/osborne_centre,52.52686,-1.83910
"Pen Museum ",https://www.birmingham.gov.uk/directory_record/88691/pen_museum,52.48474,-1.91213
"Perry Barr Depot ",https://www.birmingham.gov.uk/directory_record/150211/perry_barr_depot,52.52178,-1.89166
"Perry Common Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/150213/perry_common_customer_service_centre,52.54200,-1.86799
"Perry Common Library ",https://www.birmingham.gov.uk/directory_record/88693/perry_common_library,52.53424,-1.87927
"Perry Tree Centre ",https://www.birmingham.gov.uk/directory_record/88694/perry_tree_centre,52.53999,-1.86923
"Plants Close ",https://www.birmingham.gov.uk/directory_record/150200/plants_close,52.54820,-1.85578
"Quinborne Centre ",https://www.birmingham.gov.uk/directory_record/88696/quinborne_centre,52.46027,-1.98718
"Quinton Library ",https://www.birmingham.gov.uk/directory_record/88697/quinton_library,52.46027,-1.98718
"Radley Court ",https://www.birmingham.gov.uk/directory_record/88698/radley_court,52.46512,-1.77760
"Reameadow Nursery ",https://www.birmingham.gov.uk/directory_record/88699/reameadow_nursery,52.43303,-1.91380
"Redfern Road Depot ",https://www.birmingham.gov.uk/directory_record/150246/redfern_road_depot,52.45595,-1.83761
"Register Office ",https://www.birmingham.gov.uk/directory_record/88701/register_office,52.47518,-1.90910
"Saltley Centre ",https://www.birmingham.gov.uk/directory_record/88706/saltley_centre,52.48519,-1.84679
"Saltley Community Centre ",https://www.birmingham.gov.uk/directory_record/88708/saltley_community_centre,52.48265,-1.83351
"Saltley Customer Service Centre ",https://www.birmingham.gov.uk/directory_record/88709/saltley_customer_service_centre,52.49132,-1.85067
"Sarehole Mill ",https://www.birmingham.gov.uk/directory_record/88710/sarehole_mill,52.43441,-1.85605
"Selly Oak Adult Education ",https://www.birmingham.gov.uk/directory_record/150206/selly_oak_adult_education,52.44359,-1.93414
"Selly Oak Centre ",https://www.birmingham.gov.uk/directory_record/88712/selly_oak_centre,52.44348,-1.93414
"Shaftesbury House ",https://www.birmingham.gov.uk/directory_record/88713/shaftesbury_house,52.44475,-1.87865
"Shard End Library ",https://www.birmingham.gov.uk/directory_record/88714/shard_end_library,52.49511,-1.77705
"Shard End Youth Centre ",https://www.birmingham.gov.uk/directory_record/150214/shard_end_youth_centre,52.50052,-1.76718
"Sheldon Country Park ",https://www.birmingham.gov.uk/directory_record/88715/sheldon_country_park,52.45940,-1.77847
"Sheldon Library ",https://www.birmingham.gov.uk/directory_record/88716/sheldon_library,52.46187,-1.78304
"Short Heath Court ",https://www.birmingham.gov.uk/directory_record/88717/short_heath_court,52.52873,-1.84320
"Small Heath Leisure Centre ",https://www.birmingham.gov.uk/directory_record/88719/small_heath_leisure_centre,52.47126,-1.85713
"Small Heath Library ",https://www.birmingham.gov.uk/directory_record/88720/small_heath_library,52.47126,-1.85713
"Soho House ",https://www.birmingham.gov.uk/directory_record/88722/soho_house,52.49988,-1.92422
"South Yardley Library ",https://www.birmingham.gov.uk/directory_record/88725/south_yardley_library,52.46007,-1.81662
"Sparkbrook Health &amp; Community Centre ",https://www.birmingham.gov.uk/directory_record/88726/sparkbrook_health_and_community_centre,52.46258,-1.87131
"Sparkbrook Neighbourhood Library ",https://www.birmingham.gov.uk/directory_record/88727/sparkbrook_neighbourhood_library,52.46258,-1.87131
"Sparkhill Centre ",https://www.birmingham.gov.uk/directory_record/88729/sparkhill_centre,52.45433,-1.86706
"Sparkhill Library ",https://www.birmingham.gov.uk/directory_record/88730/sparkhill_library,52.44949,-1.86455
"Springhill Library ",https://www.birmingham.gov.uk/directory_record/88732/springhill_library,52.48507,-1.91946
"St Martins Rag Market ",https://www.birmingham.gov.uk/directory_record/88733/st_martins_rag_market,52.47609,-1.89376
"Stirchley Community Hub ",https://www.birmingham.gov.uk/directory_record/150245/stirchley_community_hub,52.42911,-1.92329
"Stirchley Library ",https://www.birmingham.gov.uk/directory_record/88770/stirchley_library,52.42888,-1.92350
"Stone Hall Centre ",https://www.birmingham.gov.uk/directory_record/88771/stone_hall_centre,52.44745,-1.82603
"Summer Hill House ",https://www.birmingham.gov.uk/directory_record/88773/summer_hill_house,52.48306,-1.91516
"Summerfield Community Centre ",https://www.birmingham.gov.uk/directory_record/88775/summerfield_community_centre,52.48656,-1.93972
"Sutton Coldfield Library ",https://www.birmingham.gov.uk/directory_record/88777/sutton_coldfield_library,52.56259,-1.82320
"Sutton Coldfield Town Hall ",https://www.birmingham.gov.uk/directory_record/88778/sutton_coldfield_town_hall,52.56637,-1.82511
"Sutton New Road ",https://www.birmingham.gov.uk/directory_record/88779/sutton_new_road,52.52404,-1.84068
"Sutton Park Visitor Centre ",https://www.birmingham.gov.uk/directory_record/88780/sutton_park_visitor_centre,52.56547,-1.83515
"The Drum ",https://www.birmingham.gov.uk/directory_record/88782/the_drum,52.55112,-1.87322
"The Factory-MyPlace Longbridge ",https://www.birmingham.gov.uk/directory_record/150230/the_factory-myplace_longbridge,52.39761,-1.98540
"The Laurels ",https://www.birmingham.gov.uk/directory_record/88783/the_laurels,52.58830,-1.81864
"The Lighthouse ",https://www.birmingham.gov.uk/directory_record/88785/the_lighthouse,52.50106,-1.89781
"The Poplars ",https://www.birmingham.gov.uk/directory_record/88786/the_poplars,52.57204,-1.80079
"The Pump ",https://www.birmingham.gov.uk/directory_record/88787/the_pump,52.48303,-1.78003
"The Sanctuary ",https://www.birmingham.gov.uk/directory_record/150223/the_sanctuary,52.47246,-1.90030
"The Vibe ",https://www.birmingham.gov.uk/directory_record/150224/the_vibe,52.46554,-1.82094
"Thinktank / Millenium Point ",https://www.birmingham.gov.uk/directory_record/88788/thinktank_millenium_point,52.48279,-1.88595
"Tower Hill Library ",https://www.birmingham.gov.uk/directory_record/88790/tower_hill_library,52.53366,-1.92005
"Trentham House ",https://www.birmingham.gov.uk/directory_record/88792/trentham_house,52.44623,-1.82959
"Trittiford Centre ",https://www.birmingham.gov.uk/directory_record/88793/trittiford_centre,52.42300,-1.86331
"Viscount House ",https://www.birmingham.gov.uk/directory_record/150202/viscount_house,52.51590,-1.78666
"Walmley Library ",https://www.birmingham.gov.uk/directory_record/88794/walmley_library,52.54107,-1.80071
"Ward End Library ",https://www.birmingham.gov.uk/directory_record/88795/ward_end_library,52.49479,-1.83534
"Warwick House Childrens Home ",https://www.birmingham.gov.uk/directory_record/150168/warwick_house_childrens_home,52.45057,-1.82998
"Weoley Castle Library ",https://www.birmingham.gov.uk/directory_record/88798/weoley_castle_library,52.43903,-1.96804
"Wheatley Close ",https://www.birmingham.gov.uk/directory_record/150201/wheatley_close,52.58909,-1.82258
"Womens Enterprise Hub ",https://www.birmingham.gov.uk/directory_record/88799/womens_enterprise_hub,52.45525,-1.87693
"Woodcock Street ",https://www.birmingham.gov.uk/directory_record/88800/woodcock_street,52.48656,-1.88796
"Woodgate Valley Country Park ",https://www.birmingham.gov.uk/directory_record/88801/woodgate_valley_country_park,52.44480,-2.00887
"Wychall Primary School ",https://www.birmingham.gov.uk/directory_record/88803/wychall_primary_school,52.40721,-1.95018
"Yardley House ",https://www.birmingham.gov.uk/directory_record/88804/yardley_house,52.47348,-1.80941
"Yardley Wood Library ",https://www.birmingham.gov.uk/directory_record/88805/yardley_wood_library,52.41864,-1.85916
